CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
50053187,MARTHA'S COCINA,STATEN ISLAND,704,BAY ST,10304,3478823867,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2/14/17,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,A,2/14/17,10/25/17,Cycle Inspection / Re-inspection
50011349,LA KUEVA BAR & GRILL,QUEENS,9410,ASTORIA BLVD,11369,7186517059,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",3/10/17,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,11,A,3/10/17,10/25/17,Cycle Inspection / Initial Inspection
41260791,MANTA LLAVE DEL MAR BAR RESTAURANT,QUEENS,9912,NORTHERN BOULEVARD,11368,7182050149,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",3/8/17,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13,A,3/8/17,10/25/17,Cycle Inspection / Initial Inspection
40396445,POLLOS A LA BRASA MARIO,QUEENS,8101,ROOSEVELT AVENUE,11372,7186395555,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",4/13/17,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Ã‚Âº F.,Critical,12,A,4/13/17,10/25/17,Cycle Inspection / Initial Inspection
40996589,GENA'S GRILL,MANHATTAN,210,1 AVENUE,10009,2124733700,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",6/19/17,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,25,B,6/19/17,10/25/17,Cycle Inspection / Re-inspection
41536647,HAVANA CAFE,BRONX,3151,EAST TREMONT AVENUE,10461,7185181800,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10/23/17,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Ã‚Âº F to 70Ã‚Âº F or less within 2 hours, and from 70Ã‚Âº F to 41Ã‚Âº F or less within 4 additional hours.",Critical,9,A,10/23/17,10/25/17,Cycle Inspection / Re-inspection
50057515,MARAMANA,MANHATTAN,5009,BROADWAY,10034,2125672400,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",1/23/17,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10,A,1/23/17,10/25/17,Pre-permit (Operational) / Initial Inspection
41456053,LA ABUNDANCIA BAKERY AND RESTAURAN,QUEENS,7502,ROOSEVELT AVENUE,11372,7182055021,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",4/4/17,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,11,A,4/4/17,10/25/17,Cycle Inspection / Re-inspection
41321647,PARK AVENUE LUNCHEONETTE,BROOKLYN,131,PARK AVENUE,11205,7186436434,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",8/16/17,Violations were cited in the following area(s).,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,12,A,8/16/17,10/25/17,Cycle Inspection / Re-inspection
50044575,DON FRANCISCO,QUEENS,9508,35TH AVE,11372,7186392669,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2/13/17,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,10,A,2/13/17,10/25/17,Cycle Inspection / Initial Inspection
41265805,BLEND,QUEENS,4704,VERNON BOULEVARD,11101,7187292800,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2/11/17,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,11,A,2/11/17,10/25/17,Cycle Inspection / Re-inspection
41583191,QUEZADA RESTAURANT,BROOKLYN,1212,FLATBUSH AVENUE,11226,7182820622,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",3/7/17,Establishment re-opened by DOHMH,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,6,P,3/7/17,10/25/17,Cycle Inspection / Reopening Inspection
41164793,LATINO'S BAR & GRILL RESTAURANT,MANHATTAN,3864,BROADWAY,10032,2127401313,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",8/24/17,Establishment re-opened by DOHMH,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7,Z,8/24/17,10/25/17,Cycle Inspection / Reopening Inspection
41450589,LA PERLA DEL ULUA RESTAURANT,BROOKLYN,354,MELROSE STREET,11237,7183669407,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",5/10/17,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,12,A,5/10/17,10/25/17,Cycle Inspection / Re-inspection
41277461,ANTONIO'S RESTAURANT,BRONX,211,EAST  167 STREET,10456,7189923367,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",4/7/17,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Ã‚Âº F.,Critical,9,A,4/7/17,10/25/17,Cycle Inspection / Re-inspection
40884503,EL CUENCANITO,QUEENS,9912,ALSTYNE AVE,11368,7182711721,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",3/1/17,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,3/1/17,10/25/17,Cycle Inspection / Re-inspection
41659848,LA BRISA DEL CIBAO,QUEENS,3779,103 STREET,11368,7182054941,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",5/25/17,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,13,A,5/25/17,10/25/17,Cycle Inspection / Re-inspection
41068451,GRAND OASIS RESTAURANT,QUEENS,1611,CENTRAL AVENUE,11691,7183274067,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",7/7/17,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,8,A,7/7/17,10/25/17,Cycle Inspection / Initial Inspection
50033098,EMPANADAS MONUMENTAL,BRONX,1971,UNIVERSITY AVE,10453,3477264990,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2/28/17,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13,A,2/28/17,10/25/17,Cycle Inspection / Initial Inspection
41705491,SABOR TORIBIO RESTAURANT,BROOKLYN,446,WILSON AVENUE,11221,3474421160,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",6/24/17,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,13,A,6/24/17,10/25/17,Cycle Inspection / Initial Inspection
40844457,LA ISLA,BROOKLYN,4920,5 AVENUE,11220,7187489375,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2/8/17,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,2/8/17,10/25/17,Cycle Inspection / Initial Inspection
40399373,LA BARCA RESTAURANT,MANHATTAN,3892,BROADWAY,10032,2129281090,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10/13/17,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,13,A,10/13/17,10/25/17,Cycle Inspection / Re-inspection
41600495,MI PEQUENO EL SALVADOR RESTAURANT,QUEENS,9416,37 AVENUE,11372,7186720853,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",3/7/17,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,13,A,3/7/17,10/25/17,Cycle Inspection / Initial Inspection
41265961,EL SAZON IDEAL RESTAURANT,BRONX,148,WEST BURNSIDE AVENUE,10453,7182991365,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10/4/17,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,53,Z,10/4/17,10/25/17,Cycle Inspection / Re-inspection
40567189,USULUTECO RESTAURANT,BROOKLYN,4017,5 AVENUE,11232,7184368025,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",4/11/17,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,9,A,4/11/17,10/25/17,Cycle Inspection / Re-inspection
50015151,MIRADOR RESTAURANT,BRONX,44,W KINGSBRIDGE RD,10468,7184503844,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",9/18/17,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,19,Z,9/18/17,10/25/17,Cycle Inspection / Re-inspection
40860032,BARRANQUILLA BAKERY & RESTAURANT,QUEENS,3448,JUNCTION BOULEVARD,11372,7184781888,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",6/26/17,Violations were cited in the following area(s).,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical,12,A,6/26/17,10/25/17,Cycle Inspection / Re-inspection
40557901,LA ISLA CUCHIFRITOS,BRONX,15221524,WESTCHESTER AVENUE,10472,7188937591,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",8/22/17,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,8/22/17,10/25/17,Cycle Inspection / Re-inspection
41148810,TROPICAL SPANISH RESTAURANT,MANHATTAN,3771,BROADWAY,10032,2124914300,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2/27/17,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,12,A,2/27/17,10/25/17,Cycle Inspection / Re-inspection
40996589,GENA'S GRILL,MANHATTAN,210,1 AVENUE,10009,2124733700,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",6/19/17,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,25,B,6/19/17,10/25/17,Cycle Inspection / Re-inspection
50032907,LA CALETA RESTAURANT,STATEN ISLAND,155,LAFAYETTE AVE,10301,7184481448,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2/28/17,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,21,B,2/28/17,10/25/17,Cycle Inspection / Re-inspection
40396230,QUEENS COFFEE SHOP,QUEENS,10880,ROOSEVELT AVENUE,11368,7184293552,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",8/24/17,Violations were cited in the following area(s).,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,27,B,8/24/17,10/25/17,Cycle Inspection / Re-inspection
50042465,TAVARES RESTAURANT,BROOKLYN,234,CLEVELAND ST,11208,3472404609,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",1/5/17,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Ã‚Âº F.,Critical,9,A,1/5/17,10/25/17,Cycle Inspection / Re-inspection
41559459,FLOR DE BROADWAY RESTAURANT,MANHATTAN,3395,BROADWAY,10031,2122811556,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",1/6/17,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,1/6/17,10/25/17,Cycle Inspection / Re-inspection
41219576,EMPERADOR ELIAS RESTAURANT,BROOKLYN,274,BROADWAY,11211,7183887784,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",5/3/17,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,12,A,5/3/17,10/25/17,Cycle Inspection / Re-inspection
41382688,GUANTANAMERA,MANHATTAN,939,8 AVENUE,10019,2122625354,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",4/12/17,Violations were cited in the following area(s).,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,16,B,4/12/17,10/25/17,Cycle Inspection / Re-inspection
41449780,QUE SABOR BAKERY CAFE,QUEENS,8460,GRAND AVENUE,11373,7183963138,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",4/6/17,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Ã‚Âº F.,Critical,9,A,4/6/17,10/25/17,Cycle Inspection / Initial Inspection
50066373,Mi Romance Ecuartoriano,BRONX,356,E 148TH ST,10455,3477772157,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",9/26/17,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,9/26/17,10/25/17,Pre-permit (Operational) / Re-inspection
41378125,PUNTO DE SABOR,MANHATTAN,1464,ST NICHOLAS AVENUE,10033,2129282298,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",6/2/17,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,20,B,6/2/17,10/25/17,Cycle Inspection / Re-inspection
50015405,LA MASA RESTAURANT,BRONX,1000,MORRIS PARK AVE,10462,7188228400,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",7/20/17,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,11,A,7/20/17,10/25/17,Cycle Inspection / Re-inspection
40923055,D'OASIS BAR RESTAURANT,QUEENS,5420,FLUSHING AVENUE,11378,7188217683,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",6/6/17,Violations were cited in the following area(s).,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,11,A,6/6/17,10/25/17,Cycle Inspection / Initial Inspection
50018258,SABOR DE CUBA,QUEENS,3703,31ST AVE,11103,7187771693,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",4/4/17,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,9,A,4/4/17,10/25/17,Cycle Inspection / Re-inspection
50056932,PLATO Y RUMBA RESTAURANT,BRONX,2958,JEROME AVE,10468,3478624747,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10/16/17,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,21,Z,10/16/17,10/25/17,Cycle Inspection / Re-inspection
50056036,NORTHERN CAFE,QUEENS,10113,NORTHERN BLVD,11368,3477838044,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",3/9/17,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10,A,3/9/17,10/25/17,Cycle Inspection / Initial Inspection
41510014,EL CANELAZO BAR RESTAURANT,QUEENS,8004,ROOSEVELT AVENUE,11372,7184290016,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",6/16/17,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,9,A,6/16/17,10/25/17,Cycle Inspection / Re-inspection
40396445,POLLOS A LA BRASA MARIO,QUEENS,8101,ROOSEVELT AVENUE,11372,7186395555,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",4/13/17,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,A,4/13/17,10/25/17,Cycle Inspection / Initial Inspection
50033436,LA PARADA EXPRESS RESTAURANT,BROOKLYN,460,3RD AVE,11215,7189654800,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10/18/17,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,13,A,10/18/17,10/25/17,Cycle Inspection / Re-inspection
50011807,VILLA CASTILLO RESTAURANT CORP,BROOKLYN,1474,PITKIN AVE,11212,7184959717,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",8/30/17,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,11,A,8/30/17,10/25/17,Cycle Inspection / Re-inspection
50016367,EL MANATIAL RESTAURANT & BAR,QUEENS,10421,ROOSEVELT AVE,11368,7185050250,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",8/24/17,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,8/24/17,10/25/17,Cycle Inspection / Initial Inspection
40399373,LA BARCA RESTAURANT,MANHATTAN,3892,BROADWAY,10032,2129281090,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10/13/17,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,10/13/17,10/25/17,Cycle Inspection / Re-inspection
41338586,MEZA PASTA & DELI,BROOKLYN,6410,NEW UTRECHT AVENUE,11219,7182565646,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",3/6/17,Violations were cited in the following area(s).,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,12,A,3/6/17,10/25/17,Cycle Inspection / Initial Inspection
41245444,EL VIEJO YAYO REST II,BROOKLYN,317,9 STREET,11215,7189657299,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",3/2/17,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13,A,3/2/17,10/25/17,Cycle Inspection / Re-inspection
41707137,NEW RANCHITO,MANHATTAN,924,AMSTERDAM AVENUE,10025,2126787923,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",7/18/17,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,Critical,9,P,7/18/17,10/25/17,Cycle Inspection / Reopening Inspection
50012369,LA CUESTA,BROOKLYN,582,LIBERTY AVE,11207,3477894541,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",7/29/17,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13,A,7/29/17,10/25/17,Cycle Inspection / Initial Inspection
50064986,BIENANGY'S RINCONCITO DULCE,MANHATTAN,1650,SAINT NICHOLAS AVE,10040,6468506637,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",9/15/17,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,21,B,9/15/17,10/25/17,Pre-permit (Operational) / Re-inspection
41688119,HABANA OUTPOST,BROOKLYN,620,ATLANTIC AVENUE,11217,9176186310,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",1/25/17,No violations were recorded at the time of this inspection.,,,Not Applicable,0,A,1/25/17,10/25/17,Cycle Inspection / Initial Inspection
41511660,EL ECONOMICO RESTAURANT,BRONX,5589,BROADWAY,10463,7186015577,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2/17/17,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Ã‚Âº F.,Critical,13,A,2/17/17,10/25/17,Cycle Inspection / Initial Inspection
41265961,EL SAZON IDEAL RESTAURANT,BRONX,148,WEST BURNSIDE AVENUE,10453,7182991365,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10/4/17,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Ã‚Âº F.,Critical,53,Z,10/4/17,10/25/17,Cycle Inspection / Re-inspection
50043580,LA CHIQUI RESTAURANT,BRONX,760,GRAND CONCOURSE,10451,7189757373,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10/12/17,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,28,Z,10/12/17,10/25/17,Cycle Inspection / Re-inspection
50000738,D'ANNA'S DELI & PIZZERIA,QUEENS,16908,CROCHERON AVE,11358,7188780042,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",4/24/17,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,4/24/17,10/25/17,Cycle Inspection / Initial Inspection
41375603,CACHAPAS Y MAS,MANHATTAN,107,DYCKMAN STREET,10040,2123042224,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2/1/17,Violations were cited in the following area(s).,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,7,A,2/1/17,10/25/17,Cycle Inspection / Re-inspection
41049375,SHELI RESTAURANT,BROOKLYN,492,BROADWAY,11211,9176405141,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",1/5/17,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,1/5/17,10/25/17,Cycle Inspection / Initial Inspection
50002572,LA RUBIA RESTAURANT,QUEENS,861,WYCKOFF AVENUE,11385,7183819847,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",9/20/17,Violations were cited in the following area(s).,03B,"Shellfish not from approved source, improperly tagged/labeled; tags not retained for 90 days.",Critical,32,Z,9/20/17,10/25/17,Cycle Inspection / Re-inspection
