CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
50067420,SABOR DE MI TIERRA 2,QUEENS,4106B,JUNCTION BLVD,11368,9295220935,Spanish,10/20/17,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,32,C,10/20/17,12/1/17,Pre-permit (Operational) / Re-inspection
50035494,DOUNET HALAL RESTAURANT,QUEENS,9715,57TH AVE,11368,7182717199,African,5/4/17,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,31,C,5/4/17,12/1/17,Cycle Inspection / Re-inspection
50004270,ZU RANG NY,QUEENS,4114,162ND ST,11358,7184452947,Korean,12/10/14,Establishment re-opened by DOHMH,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,C,12/10/14,12/1/17,Cycle Inspection / Reopening Inspection
50018468,SAVOUR SICHUAN,MANHATTAN,108,W 39TH ST,10018,2122217237,Chinese,9/12/16,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,36,C,9/12/16,12/1/17,Cycle Inspection / Re-inspection
50012006,GRAND SICHUAN,MANHATTAN,229,9TH AVE,10001,2126205200,Chinese,4/8/15,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,28,C,4/8/15,12/1/17,Cycle Inspection / Re-inspection
41693899,THE AVE LUNCH BOX,BROOKLYN,587,WILSON AVENUE,11207,3479555420,Spanish,10/21/14,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,31,C,10/21/14,12/1/17,Cycle Inspection / Re-inspection
41719158,LOBSTER HOUSE,QUEENS,9525,QUEENS BOULEVARD,11374,7188968811,Asian,4/30/15,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,28,C,4/30/15,12/1/17,Cycle Inspection / Re-inspection
41297789,CHEF ANDREA,BROOKLYN,7312,13 AVENUE,11228,7187654203,Italian,4/27/15,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,35,C,4/27/15,12/1/17,Cycle Inspection / Re-inspection
50006404,149 STEAM FISH,BRONX,500,E 149TH ST,10455,7182927997,Seafood,10/2/17,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,29,C,10/2/17,12/1/17,Cycle Inspection / Re-inspection
50012358,MACARON CAFE,MANHATTAN,303,GREENWICH ST,10013,2123432570,French,9/26/17,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,28,C,9/26/17,12/1/17,Cycle Inspection / Re-inspection
50065197,NAMASTE NEPAL,QUEENS,4316,QUEENS BLVD,11104,3478088100,Asian,9/7/17,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,51,C,9/7/17,12/1/17,Pre-permit (Operational) / Re-inspection
50018589,ZHEN GOOD TASTE,QUEENS,5961,69TH ST,11378,7187792996,Chinese,8/29/16,Establishment re-opened by DOHMH,,,Not Applicable,0,C,8/29/16,12/1/17,Cycle Inspection / Reopening Inspection
40375376,AGRA RESTAURANT,MANHATTAN,807,LEXINGTON AVENUE,10065,2123088281,Indian,3/8/17,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,28,C,3/8/17,12/1/17,Cycle Inspection / Re-inspection
41026945,NEW DAWN RESTAURANT,QUEENS,4021,22 STREET,11101,7187865673,American,4/28/15,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,33,C,4/28/15,12/1/17,Cycle Inspection / Re-inspection
41366074,OB'S CAVERN,QUEENS,3627,164 STREET,11358,7184630074,Korean,2/9/16,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,29,C,2/9/16,12/1/17,Cycle Inspection / Re-inspection
41542304,JUNOON,MANHATTAN,27,WEST   24 STREET,10010,2124902100,Indian,12/30/14,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,34,C,12/30/14,12/1/17,Cycle Inspection / Re-inspection
41510014,EL CANELAZO BAR RESTAURANT,QUEENS,8004,ROOSEVELT AVENUE,11372,7184290016,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",8/12/15,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,37,C,8/12/15,12/1/17,Cycle Inspection / Re-inspection
41614718,LITTLE ITALY PIZZA/PAPAYA DOG,MANHATTAN,2,EAST   33 STREET,10016,2124815200,Pizza/Italian,11/2/15,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,30,C,11/2/15,12/1/17,Cycle Inspection / Re-inspection
50010453,LA FOGATA,BROOKLYN,1912,86TH ST,11214,7182320207,Spanish,8/24/16,Violations were cited in the following area(s).,05F,Insufficient or no refrigerated or hot holding equipment to keep potentially hazardous foods at required temperatures.,Critical,49,C,8/24/16,12/1/17,Cycle Inspection / Re-inspection
41320931,RICH VILLAGE RESTAURANT,BROOKLYN,6009,7 AVENUE,11220,7182388628,Chinese,9/21/16,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,42,C,9/21/16,12/1/17,Cycle Inspection / Re-inspection
40397574,DOMINICK'S BAR & RESTAURANT,BRONX,2335,ARTHUR AVENUE,10458,7187332807,Italian,12/10/15,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,36,C,12/10/15,12/1/17,Cycle Inspection / Re-inspection
50038505,IDN INTERNATIONAL RESTAURANT,BRONX,1333,WEBSTER AVE,10456,6464028600,African,11/12/15,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,31,C,11/12/15,12/1/17,Cycle Inspection / Re-inspection
50003580,XING WONG BBQ,MANHATTAN,89,E BROADWAY,10002,2127798899,Chinese,4/15/16,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,63,C,4/15/16,12/1/17,Cycle Inspection / Re-inspection
50056512,INCA PERUVIAN GRILL KITCHEN,STATEN ISLAND,126,LINCOLN AVE,10306,7184480488,Peruvian,8/10/17,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,34,C,8/10/17,12/1/17,Pre-permit (Operational) / Re-inspection
41164793,LATINO'S BAR & GRILL RESTAURANT,MANHATTAN,3864,BROADWAY,10032,2127401313,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",5/24/16,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,43,C,5/24/16,12/1/17,Cycle Inspection / Re-inspection
50045643,EL ENCUENTRO RESTAURANT BAR CORP,BRONX,352,E GUN HILL RD,10467,7187983755,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",6/29/16,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,40,C,6/29/16,12/1/17,Cycle Inspection / Re-inspection
41690737,TAIM,MANHATTAN,45,SPRING STREET,10012,2122190600,Mediterranean,8/11/17,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,33,C,8/11/17,12/1/17,Cycle Inspection / Re-inspection
41721069,MASAKI TERIYAKI & SUSHI,BROOKLYN,11,PUTNAM AVENUE,11238,7186222228,Japanese,12/30/14,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,64,C,12/30/14,12/1/17,Cycle Inspection / Re-inspection
41702724,MOMINETTE,BROOKLYN,221,KNICKERBOCKER AVENUE,11237,9292342941,French,5/27/15,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,33,C,5/27/15,12/1/17,Cycle Inspection / Re-inspection
50019121,TOPAZ NOODLE BAR,MANHATTAN,129,W 56TH ST,10019,2122472277,Asian,6/1/15,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,28,C,6/1/15,12/1/17,Pre-permit (Operational) / Re-inspection
41491419,ITAL FUSION,BROOKLYN,4705,CHURCH AVENUE,11203,3476638515,Vegetarian,3/26/15,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,41,C,3/26/15,12/1/17,Cycle Inspection / Re-inspection
50055649,JAMAICA BREEZE RESTAURANT,QUEENS,2136,MOTT AVE,11691,7184716030,Caribbean,10/4/17,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,40,C,10/4/17,12/1/17,Cycle Inspection / Re-inspection
41116537,ELSA LA REINA DEL CHICHARRON,MANHATTAN,4840,BROADWAY,10034,2123041070,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12/12/16,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,44,C,12/12/16,12/1/17,Cycle Inspection / Re-inspection
41431239,QUE SABROSURA RESTAURANT,BRONX,48,EAST  183 STREET,10453,7183652200,Spanish,2/8/17,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,51,C,2/8/17,12/1/17,Cycle Inspection / Re-inspection
50007437,YUM YUM BANGKOK,MANHATTAN,650,9TH AVE,10036,2122627244,Thai,4/23/15,Establishment re-opened by DOHMH,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5,C,4/23/15,12/1/17,Cycle Inspection / Reopening Inspection
41346086,KEN'S ASIAN TASTE,MANHATTAN,40,BOWERY,10013,2126080806,Chinese,1/20/16,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,28,C,1/20/16,12/1/17,Cycle Inspection / Re-inspection
50048222,CARIBBEAN FIESTA,MANHATTAN,1544,MADISON AVE,10029,2128311400,Caribbean,10/10/17,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,43,C,10/10/17,12/1/17,Cycle Inspection / Re-inspection
50017854,MANNY'S,BROOKLYN,212,PATCHEN AVE,11233,7184839868,American,3/30/16,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,47,C,3/30/16,12/1/17,Cycle Inspection / Re-inspection
41670151,CAFE OLIVIERO,MANHATTAN,850,7 AVENUE,10019,2125821902,American,7/27/16,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,49,C,7/27/16,12/1/17,Cycle Inspection / Re-inspection
41423445,DAE BAK RESTAURANT,QUEENS,14606,34 AVENUE,11354,7183580002,Korean,12/29/14,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,29,C,12/29/14,12/1/17,Cycle Inspection / Re-inspection
50002478,VILLA TAPIA RESTAURANT,BRONX,245,BROOK AVENUE,10454,9178011415,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",9/14/17,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,33,C,9/14/17,12/1/17,Cycle Inspection / Re-inspection
41360734,GEE WHIZ,MANHATTAN,295,GREENWICH STREET,10007,2126087200,American,6/16/16,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,34,C,6/16/16,12/1/17,Cycle Inspection / Re-inspection
41529712,FORK & SPOON,MANHATTAN,7,WEST   36 STREET,10018,2122443203,Delicatessen,9/10/15,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,33,C,9/10/15,12/1/17,Cycle Inspection / Re-inspection
50017111,J J SPORT RESTAURANT,BRONX,545,E 183RD ST,10458,7182951200,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",7/20/17,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,56,C,7/20/17,12/1/17,Cycle Inspection / Re-inspection
41702121,IL VALENTINO OSTERIA,MANHATTAN,1078,1 AVENUE,10022,2127840800,Italian,10/13/15,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,28,C,10/13/15,12/1/17,Cycle Inspection / Re-inspection
50033281,LINCOLN SQUARE STEAK,MANHATTAN,208,W 70TH ST,10023,2128758600,Steak,7/28/16,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,33,C,7/28/16,12/1/17,Cycle Inspection / Re-inspection
40827287,AJISEN RAMEN,MANHATTAN,14,MOTT STREET,10013,2122679680,Japanese,6/16/16,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,33,C,6/16/16,12/1/17,Cycle Inspection / Re-inspection
50043193,NOCCIOLA PIZZERIA,MANHATTAN,123,E 110TH ST,10029,6465901438,Pizza,10/3/16,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,60,C,10/3/16,12/1/17,Cycle Inspection / Re-inspection
40732665,KATZ'S DELICATESSEN,MANHATTAN,205,EAST HOUSTON STREET,10002,2122542246,Delicatessen,12/30/13,Violations were cited in the following area(s).,04D,"Food worker does not wash hands thoroughly after using the toilet, coughing, sneezing, smoking, eating, preparing raw foods or otherwise contaminating hands.",Critical,28,C,12/30/13,12/1/17,Cycle Inspection / Re-inspection
50011343,EMPIRE TACO CHINA,BROOKLYN,2807,CROPSEY AVE,11214,7183728888,Tex-Mex,4/14/15,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,36,C,4/14/15,12/1/17,Cycle Inspection / Re-inspection
50038896,BOISHAKHI,QUEENS,2914,36TH AVE,11106,7186061242,Bangladeshi,6/14/16,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,31,C,6/14/16,12/1/17,Cycle Inspection / Re-inspection
50004608,PASTORA RESTAURANT PIZZERIA,BRONX,967,E 167TH ST,10459,7188421700,Spanish,1/26/17,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,32,C,1/26/17,12/1/17,Cycle Inspection / Re-inspection
40394054,GARDEN OF EAT-IN,BROOKLYN,1416,AVENUE J,11230,7182525289,Jewish/Kosher,10/25/17,Violations were cited in the following area(s).,02C,Hot food item that has been cooked and refrigerated is being held for service without first being reheated to 1 65Âº F or above within 2 hours.,Critical,30,C,10/25/17,12/1/17,Cycle Inspection / Re-inspection
41204905,UPSTAIRS LOUNGE THE KIMBERLY HOTEL/ BISTANGO,MANHATTAN,145,EAST 50 STREET,10022,2127021667,American,11/6/17,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,44,C,11/6/17,12/1/17,Cycle Inspection / Re-inspection
50059510,PARS NEW YORK,MANHATTAN,249,W 26TH ST,10001,5169933165,American,4/7/17,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,30,C,4/7/17,12/1/17,Pre-permit (Operational) / Re-inspection
40941619,DOMINO'S,QUEENS,3215,JUNCTION BOULEVARD,11369,7184583030,Pizza,10/2/15,Violations were cited in the following area(s).,10J,''''Wash hands sign not posted at hand wash facility.,Not Critical,35,C,10/2/15,12/1/17,Cycle Inspection / Re-inspection
50018586,PARKSIDE COFFEE SHOP,BROOKLYN,188,PARKSIDE AVE,11226,7182841914,American,9/16/15,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,47,C,9/16/15,12/1/17,Cycle Inspection / Re-inspection
40399472,OLIVE GARDEN,MANHATTAN,2,TIMES SQUARE,10036,2123333254,Italian,10/9/15,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,32,C,10/9/15,12/1/17,Cycle Inspection / Re-inspection
50001985,CHIFLEZ,QUEENS,9502,ROOSEVELT AVE,11372,7182051385,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",5/13/14,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,36,C,5/13/14,12/1/17,Cycle Inspection / Re-inspection
50033122,PARTY WELL REST & ORIENTAL BAKERY,QUEENS,14932,41ST AVE,11355,7188860800,Korean,8/19/16,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,37,C,8/19/16,12/1/17,Cycle Inspection / Re-inspection
50053544,KENNEDY FRIED CHICKEN,BRONX,1170,WEBSTER AVE,10456,7188806744,Chicken,9/19/16,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,51,C,9/19/16,12/1/17,Pre-permit (Operational) / Re-inspection
50038120,SHUN WON FLUSHING,QUEENS,4127,MAIN ST,11355,3475750596,Chinese,11/24/15,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,29,C,11/24/15,12/1/17,Pre-permit (Operational) / Re-inspection
41568332,THE DUCK,MANHATTAN,2171,2 AVENUE,10029,2128313464,American,1/5/15,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,32,C,1/5/15,12/1/17,Cycle Inspection / Re-inspection
40996737,DON ALEX RESTAURANT,QUEENS,1062426,CORONA AVE,11368,7182718687,Peruvian,6/26/14,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,33,C,6/26/14,12/1/17,Cycle Inspection / Re-inspection
40742988,DOMINO'S,BROOKLYN,1111,PENNSYLVANIA AVENUE,11207,7182721212,Pizza,9/11/17,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,43,C,9/11/17,12/1/17,Cycle Inspection / Re-inspection
40392721,NUEVA VILLA CHINA RESTAURANT,QUEENS,3910,103 STREET,11368,7184761527,Chinese,12/23/14,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,47,C,12/23/14,12/1/17,Cycle Inspection / Re-inspection
50051016,MAMAK,MANHATTAN,174,2ND AVE,10003,9174057868,Asian,8/16/16,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,47,C,8/16/16,12/1/17,Pre-permit (Operational) / Re-inspection
40826684,WU LIANG YE RESTAURANT,MANHATTAN,36,WEST   48 STREET,10036,2123982308,Chinese,10/10/17,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,31,C,10/10/17,12/1/17,Cycle Inspection / Re-inspection
40364576,TOUT VA BIEN,MANHATTAN,311,WEST   51 STREET,10019,2122650190,French,12/28/15,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,38,C,12/28/15,12/1/17,Cycle Inspection / Re-inspection
41029952,ONE WAY DELI,BROOKLYN,26,COURT STREET,11242,7187971393,Delicatessen,6/23/14,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,42,C,6/23/14,12/1/17,Cycle Inspection / Re-inspection
41660862,SOCARRAT EAST,MANHATTAN,953,2 AVENUE,10022,2127590101,Spanish,1/10/17,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,37,C,1/10/17,12/1/17,Cycle Inspection / Re-inspection
40943306,BEST-BITES RESTAURANT & BAKERY,BROOKLYN,4601,CHURCH AVENUE,11203,7184623842,Bakery,4/13/17,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,19,C,4/13/17,12/1/17,Cycle Inspection / Re-inspection
50002936,BENE PIZZERIA & RESTAURANT,BROOKLYN,157,PROSPECT PARK SW,11218,7186860046,Pizza/Italian,1/9/14,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,36,C,1/9/14,12/1/17,Pre-permit (Operational) / Re-inspection
41289382,JADE ASIAN RESTAURANT,QUEENS,13628,39 AVENUE,11354,7187628821,Chinese,5/20/15,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,51,C,5/20/15,12/1/17,Cycle Inspection / Re-inspection
50066625,CROWN FRIED CHICKEN PIZZA,BROOKLYN,691,BROADWAY,11206,7183877780,Chicken,9/13/17,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,32,C,9/13/17,12/1/17,Pre-permit (Operational) / Re-inspection
41019412,GEN RESTAURANT,BROOKLYN,659,WASHINGTON AVENUE,11238,7183983550,Japanese,2/12/15,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,45,C,2/12/15,12/1/17,Cycle Inspection / Re-inspection
